review_row_index,sample_id,category,expected_guard_decision,expected_false_positive,expected_false_negative,expected_operator_intent,reviewer_1_decision,reviewer_1_reason,reviewer_2_decision,reviewer_2_reason,agreement_status,final_fp_label,final_fn_label,final_unresolved,acceptance_included,reviewer_notes
28,OI-028,destructive-shell,deny,false,false,destructive,agree,"note: recursive destructive delete, deny matches denylist",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
29,OI-029,destructive-shell,deny,false,false,destructive,agree,"note: forced recursive delete of build dir, deny consistent",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
30,OI-030,destructive-shell,deny,false,false,destructive,agree,"note: find delete sweep is destructive, deny consistent",agree,"review: second pass confirms destructive intent and decision deny",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
31,OI-031,ui-workflow-admin,allow,false,false,administrative,agree,"note: administrative status query, allow consistent",agree,"review: second pass confirms administrative intent and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
32,OI-032,ui-workflow-admin,allow,false,false,administrative,agree,"note: listing pipelines is administrative read, allow consistent",agree,"review: second pass confirms administrative intent and decision allow",agreed,false,false,false,true,"equivalent_two_pass_static_review; policy_expected"
33,OI-033,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: deny conflicts with legitimate_read intent, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
34,OI-034,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: help target may be over-blocked by recipe parsing, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
35,OI-035,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: config read may be over-blocked, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
36,OI-036,fp-candidate,deny,true,false,legitimate_read,needs_review,"note: remote listing is read-only but may match a remote rule, FP candidate needs review",needs_review,"review: second pass cannot statically confirm true positive, marks needs_review",unresolved,review_target,false,true,false,"equivalent_two_pass_static_review; FP_candidate; review_target"
37,OI-037,fn-candidate,allow,false,true,illegitimate_mutation,agree,"note: variable obfuscated force push not detected, KNOWN_FALSE_NEGATIVE-adjacent review target",agree,"review: second pass concurs current allow is a documented detection gap, review target",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; FN_candidate; KNOWN_FALSE_NEGATIVE-adjacent; review_target"
38,OI-038,fn-candidate,allow,false,true,illegitimate_mutation,agree,"note: config alias indirection may evade git gate, flagged as review target",agree,"review: second pass concurs review target for future detection improvement",agreed,false,review_target,false,true,"equivalent_two_pass_static_review; FN_candidate; review_target"
